scale,throughput,load,collision,lost
0.001,92010.366,905944,78.810915,0
0.001,68834.812,905944,85.903593,0
0.001,83696.831,905944,78.462135,0
0.001,73167.504,905944,85.379876,0
0.001,79560.138,905944,83.999261,0
0.001,61166.637,905944,91.292036,0
0.001,60913.154,905944,90.557456,0
0.001,78883.587,905944,83.582851,0
0.001,73720.752,905944,80.633893,0
0.001,66874.223,905944,87.307692,0
0.001,83745.176,905944,80.747181,0
0.001,35087.461,905944,90.392393,0
0.001,71751.452,905944,86.74516,0
0.001,65489.576,905944,86.376782,0
0.001,100642.27,905944,80.858866,0
0.001,91131.717,905944,78.482195,0
0.001,55613.201,905944,91.101912,0
0.001,66910.079,905944,84.74284,0
0.001,51017.327,905944,88.685419,0
0.001,72553.856,905944,85.50539,0
0.001,57753.701,905944,92.174541,0
0.001,71286.29,905944,84.599027,0
0.001,70361.793,905944,90.684607,0
0.001,64868.072,905944,83.557772,0
0.001,81092.319,905944,84.476829,0
0.001,85693.434,905944,80.427485,0
0.001,50059.455,905944,90.079976,0
0.001,89340.09,905944,77.688578,0
0.001,73773.745,905944,84.89186,0
0.001,63261.984,905944,90.119294,0
0.001,73582.377,905944,82.753036,0
0.001,54021.614,905944,91.851941,0
0.001,80319.445,905944,82.703161,0
0.001,53491.127,905944,87.224389,0
0.001,77520.966,905944,85.515146,0
0.001,91081.529,905944,84.140459,0
0.001,81725.041,905944,82.400235,0
0.001,48049.753,905944,90.005028,0
0.001,40964.786,905944,90.154775,0
0.001,67483.524,905944,88.731585,0
0.001,43809.054,905944,92.145386,0
0.001,59951.016,905944,86.744547,0
0.001,83674.959,905944,81.952789,0
0.001,88886.686,905944,78.312136,0
0.001,42119.707,905944,90.391837,0
0.001,71582.637,905944,84.188163,0
0.001,75909.802,905944,85.594325,0
0.001,67418.494,905944,85.011184,0
0.001,47053.086,905944,86.963156,0
0.001,69194.335,905944,86.288631,0
0.001,100351.74,905944,82.242187,0
0.001,59909.057,905944,86.620424,0
0.001,54451.419,905944,88.634886,0
0.001,64804.386,905944,85.679026,0
0.001,61286.588,905944,85.098415,0
0.001,66864.9,905944,85.162455,0
0.001,58798.479,905944,85.078279,0
0.001,52205.69,905944,87.515021,0
0.001,51885.841,905944,88.074307,0
0.001,72042.13,905944,86.681055,0
