node,scale,throughput,load,collision,lost
2,0.00095,89684.995,953625.26,100,0
3,0.00095,304580.46,953625.26,97.297297,0
4,0.00095,62684.445,953625.26,92.857143,0
5,0.00095,0,953625.26,90.909091,0
6,0.00095,26723.317,953625.26,95.121951,0
7,0.00095,179152.16,953625.26,100,0
8,0.00095,48265.01,953625.26,100,0
9,0.00095,-673.28104,953625.26,47.368421,0
0,0.00095,-293.76362,953625.26,92.5,0
1,0.00095,476.37344,953625.26,62.068966,0
2,0.00095,115520.56,953625.26,100,0
3,0.00095,165698.56,953625.26,93.877551,0
4,0.00095,71829.175,953625.26,87.804878,0
5,0.00095,0,953625.26,73.684211,0
6,0.00095,93615.32,953625.26,88.372093,0
